ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo;REGION
202212;NTTG;RANGIROA;OM;8878;3074;3491;2108;6,9;13,5;228;2;Polynésie française
202212;NTTH;HUAHINE;OM;12921;4301;4957;3525;3,6;10,2;342;0;Polynésie française
202212;NTTM;MOOREA;OM;2786;1394;801;577;0,5;0,9;86;0;Polynésie française
202212;NTTO;HAO;OM;1788;500;439;815;0,3;3;54;0;Polynésie française
202212;NTTP;MAUPITI;OM;2747;1056;1598;31;0;6,1;110;0;Polynésie française
202212;NTTR;RAIATEA;OM;22410;9745;9943;2435;6,6;22,1;564;1;Polynésie française
202212;NWWE;ILE DES PINS;OM;9430;4357;4839;0;7,6;15,9;184;0;Nouvelle-Calédonie
202212;NWWL;LIFOU;OM;15631;7214;7988;0;12,1;30,8;385;1;Nouvelle-Calédonie
202212;NWWM;NOUMEA MAGENTA;OM;38398;19443;17798;0;82,4;33,2;820;6;Nouvelle-Calédonie
202212;NWWR;MARE;OM;7561;3352;3959;0;6,5;18,4;209;1;Nouvelle-Calédonie
202212;NWWV;OUVEA;OM;7258;3239;3785;0;7;16,4;192;2;Nouvelle-Calédonie
202212;NWWW;NOUMEA LA TONTOUTA;OM;52004;26722;21666;0;62,3;299,3;327;0;Nouvelle-Calédonie
202212;SOCA;CAYENNE-FELIX EBOUE;OM;50454;24294;23267;0;69,3;220;497;39;Guyane
202212;SOOA;MARIPASOULA;OM;2595;902;973;493;0,4;22,3;262;25;Guyane
202212;TFFF;MARTINIQUE-AIME CESAIRE;OM;192465;84370;89888;5155;383;922,2;1481;51;Martinique
202212;TFFG;ST-MARTIN-GRAND-CASE;OM;18700;8738;9563;0;14,7;25,2;619;19;Saint-Martin
202212;TFFJ;ST-BARTHELEMY;OM;22974;10809;11672;3;7,8;41,2;4253;126;Saint-Barthélemy
202212;TFFR;GUADELOUPE-MARYSE CONDE;OM;224367;98600;108384;5648;151,7;1021,9;2212;92;Inconnue
202212;ZZMT; AUTRES APT (MT);MT;4487;2085;2267;27;3;7,8;1309;5;Inconnue
202212;ZZOM; AUTRES APT (OM);OM;13372;3697;5008;4227;2,7;41,3;995;77;Inconnue
