ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
2019-03;LFMU;BEZIERS-VIAS;MT;6339;3069;3269;1;0;0;66;0
2019-03;LFOB;BEAUVAIS-TILLE;MT;307071;152243;154821;0;0;0,7;1810;0
2019-03;LFOK;CHALONS-VATRY;MT;8568;3340;3374;0;148,3;37,2;49;17
2019-03;LFOP;ROUEN-VALLEE DE SEINE;MT;1904;911;993;0;0;0;75;0
2019-03;LFOT;TOURS-VAL DE LOIRE;MT;13773;6826;6946;1;0;0;90;0
2019-03;LFPB;PARIS-LE BOURGET;MT;8551;4197;4354;0;0;0;4198;0
2019-03;LFPG;PARIS-CHARLES DE GAULLE;MT;7967971;2927715;3094743;3963;102236;91919,1;37002;2605
2019-03;LFPO;PARIS-ORLY;MT;2753517;1305992;1361780;0;5499,8;3074,7;18087;0
2019-03;LFQQ;LILLE-LESQUIN;MT;138286;69028;68785;473;0;0;1536;0
2019-03;LFRB;BREST-BRETAGNE;MT;89745;44212;43540;1605;20,6;18,2;1145;39
2019-03;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;4238;2214;2024;0;0;0;50;0
2019-03;LFRG;DEAUVILLE-NORMANDIE;MT;2839;1287;1356;196;0;0;42;0
2019-03;LFRH;LORIENT-LANN-BIHOUE;MT;8698;4386;4312;0;0;0;298;0
2019-03;LFRK;CAEN-CARPIQUET;MT;18375;9361;9013;1;0;0;391;0
2019-03;LFRN;RENNES-ST-JACQUES;MT;74576;34232;33502;90;247,2;428;1073;116
2019-03;LFRQ;QUIMPER-PLUGUFFAN;MT;5293;2749;2544;0;0;0;146;0
2019-03;LFRS;NANTES-ATLANTIQUE;MT;479555;236053;232480;3821;285,6;434,5;4373;76
2019-03;LFRZ;ST-NAZAIRE-MONTOIR;MT;20085;648;641;170;1196,3;666,3;70;85
2019-03;LFSB;BALE-MULHOUSE;MT;726041;338078;332638;148;3274,9;2242,8;5634;439
2019-03;LFSL;BRIVE-SOUILLAC;MT;4263;2132;2126;5;0;0;143;0
2019-03;LFST;STRASBOURG-ENTZHEIM;MT;83169;41607;41378;171;0,9;0,4;1312;0
2019-03;LFTH;TOULON-HYERES;MT;40106;20493;19611;2;0;0;595;0
2019-03;LFTW;NIMES-GARONS;MT;15272;7604;7665;0;0,3;0;105;1
2019-03;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2867;1311;1396;0;1,5;14,5;238;1
